State_name,District_name,Development_Score,Recommendation
HARYANA,Mewat,0.10133963855826222,Awareness Campaign + Enrollment Support
UTTAR PRADESH,Budaun,0.13790232620650214,Awareness Campaign + Enrollment Support
UTTAR PRADESH,Bahraich,0.1406312198952258,Awareness Campaign + Enrollment Support
BIHAR,Kishanganj,0.1472519287840047,Awareness Campaign + Enrollment Support
UTTAR PRADESH,Shrawasti,0.14906962526207124,Awareness Campaign + Enrollment Support
JAMMU AND KASHMIR,Ramban,0.15394878534371,Awareness Campaign + Enrollment Support
BIHAR,Katihar,0.15884153637677847,Awareness Campaign + Enrollment Support
BIHAR,Sitamarhi,0.16063530351397726,Awareness Campaign + Enrollment Support
BIHAR,Sheohar,0.16379241378156248,Awareness Campaign + Enrollment Support
UTTAR PRADESH,Balrampur,0.16562569906914792,Awareness Campaign + Enrollment Support
